"path","locale","title","lines","words","counterpart","has_counterpart"
".github/ISSUE_TEMPLATE/bug_report.md","en/root","steps here","45","164","","False"
".github/ISSUE_TEMPLATE/feature_request.md","en/root","","35","152","","False"
".github/PULL_REQUEST_TEMPLATE.md","en/root","","49","259","","False"
"AGENTS.md","en/root","AGENTS.md — Guide for AI Agents","178","1384","","False"
"ARCHITECTURE.md","en/root","Architecture (English Summary)","167","1300","","False"
"bridge/neo-zkvm-guest/README.md","en/root","neo-zkvm-guest","101","502","","False"
"bridge/neo-zkvm-host/README.md","en/root","neo-zkvm-host","143","768","","False"
"CHANGELOG.md","en/root","Changelog","5564","44943","","False"
"contracts/README.md","en/root","Neo Elastic Network Smart Contracts","66","387","","False"
"CONTRIBUTING.md","en/root","Contributing to Neo Elastic Network","167","1064","","False"
"doc.md","en/root","0. 设计目标","1702","4676","","False"
"docs/architecture-atlas.md","en/root","Architecture atlas","79","559","docs/zh/architecture-atlas.md","True"
"docs/architecture-glossary.md","en/root","Architecture: Glossary + component catalog","221","1673","docs/zh/architecture-glossary.md","True"
"docs/architecture-l1-vs-l2.md","en/root","Architecture: L1 vs L2 division of responsibilities","255","1788","docs/zh/architecture-l1-vs-l2.md","True"
"docs/architecture-l2-lifecycle.md","en/root","Architecture: L2 chain lifecycle","393","2415","docs/zh/architecture-l2-lifecycle.md","True"
"docs/architecture-trust-boundaries.md","en/root","Architecture: Trust boundaries","226","1730","docs/zh/architecture-trust-boundaries.md","True"
"docs/architecture-walkthrough.md","en/root","Architecture Walkthrough","312","2139","docs/zh/architecture-walkthrough.md","True"
"docs/architecture-wire-formats.md","en/root","Architecture: Wire formats","235","1549","docs/zh/architecture-wire-formats.md","True"
"docs/audit/production-readiness-audit.md","en/root","Neo N4 Deep Audit Report","261","2193","","False"
"docs/audit/repository-coverage-ledger.md","en/root","Repository Coverage Ledger","28","613","","False"
"docs/external-bridge-evm-chains.md","en/root","EVM-chain onboarding for the external bridge","314","1780","docs/zh/external-bridge-evm-chains.md","True"
"docs/external-bridge-roadmap.md","en/root","External Bridge Roadmap","271","1383","docs/zh/external-bridge-roadmap.md","True"
"docs/figures/README.md","en/root","Figures","47","299","docs/zh/figures/README.md","False"
"docs/figures/visual-guide/README.md","en/root","Visual guide figures","20","43","docs/zh/figures/visual-guide/README.md","False"
"docs/getting-started.md","en/root","Getting Started","169","812","docs/zh/getting-started.md","True"
"docs/launching-an-l2.md","en/root","Launching a new L2 chain on Neo Elastic Network","790","4084","docs/zh/launching-an-l2.md","True"
"docs/persistence.md","en/root","Persistence","226","1153","docs/zh/persistence.md","True"
"docs/plan-application-engine-and-mpt.md","en/root","Plan: ApplicationEngine integration + real state-root batch executor","201","1197","docs/zh/plan-application-engine-and-mpt.md","True"
"docs/README.md","en/root","Neo Elastic Network (`neo4`)","260","1796","docs/zh/README.md","True"
"docs/release-readiness-checklist.md","en/root","Release Readiness Checklist","93","536","docs/zh/release-readiness-checklist.md","True"
